tsa.GAFB.mstr.gbff	SRR571157	53776	Oases 0.2.08	Camelina sativa; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; malvids; Brassicales; Brassicaceae; Camelineae; Camelina.
tsa.GAFF.mstr.gbff	SRR611809,SRR611885,SRR612113,SRR612114,SRR612115,SRR612116,SRR612163,SRR612164	192768	Trinity r2012-05-18	Medicago sativa; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; eudicotyledons; core eudicotyledons;rosids; fabids; Fabales; Fabaceae; Papilionoideae; Trifolieae;Medicago.; 
tsa.GAFK.mstr.gbff	SRR543711,SRR543712	81261	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAFL.mstr.gbff	SRR540258,SRR543713	203085	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAFM.mstr.gbff	SRR543709,SRR543710	79239	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAFN.mstr.gbff	SRR391651,SRR391653,SRR391656	88659	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAFQ.mstr.gbff	ERR062145,ERR062146,ERR062147,ERR062148,ERR062149,ERR062150,ERR062151	39957	Oases 0.1.15; Velvet 1.0.12	Elodea nuttallii; Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta;Spermatophyta; Magnoliophyta; Liliopsida; Hydrocharitaceae; Elodea.
tsa.GAFS.mstr.gbff	SRR629687	74877	CLC Genomics Workbench (CLC-BIO) 4.5	Pontastacus leptodactylus; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Malacostraca;Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Astacidea;Astacoidea; Astacidae; Pontastacus.
tsa.GAFU.mstr.gbff	SRR525279	18534	Trinity v. r2012-10-05	Spodoptera exigua; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata;Ditrysia; Noctuoidea; Noctuidae; Amphipyrinae; Spodoptera.
tsa.GAFV.mstr.gbff	SRR747027	19830	Oases 0.2.04; Velvet  1.2.01	Termitomyces clypeatus MTCC 5091; Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina;Agaricomycetes; Agaricomycetidae; Agaricales; Lyophyllaceae;Termitomyces.; 
tsa.GAFY.mstr.gbff	SRR650486	39935	CLC Genomics Workbench (CLC-BIO) 4.5	Pontastacus leptodactylus; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Malacostraca;Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Astacidea;Astacoidea; Astacidae; Pontastacus.
tsa.GAFZ.mstr.gbff	SRR391654,SRR391655,SRR391657	271597	Trinity 04-27-2012	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAGA.mstr.gbff	SRR389086	735899	ABySS 1.2.5; Trans-ABySS 1.2.0	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAGB.mstr.gbff	SRR389085	1195995	Trans-ABySS 1.2.0; ABySS 1.2.5	Anolis carolinensis; Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi;Lepidosauria; Squamata; Iguania; Iguanidae; Polychrotinae; Anolis.
tsa.GAGE.mstr.gbff	SRR746797	16386	Velvet 1.2.01; Oases 0.2.04	Termitomyces clypeatus MTCC 5091; Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina;Agaricomycetes; Agaricomycetidae; Agaricales; Lyophyllaceae;Termitomyces.; 
tsa.GAGF.mstr.gbff	SRR653211	50315	trinity v. 20120608	Chrysopa pallens; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Neuroptera; Chrysopidae;Chrysopa.; 
tsa.GAGH.mstr.gbff	SRR653282,SRR653284,SRR653285,SRR653290,SRR653291,SRR653296,SRR653297,SRR653298	83098	CLC Genomics Workbench 5.5	Osmia cornuta; Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta;Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita;Aculeata; Apoidea; Megachilidae; Megachilinae; Osmia.
tsa.GAGR.mstr.gbff	SRR768655	19186	Velvet v. 1.2.08; Oases v. 0.2.08	Nannochloropsis gaditana; Eukaryota; Stramenopiles; Eustigmatophyceae; Eustigmatales;Monodopsidaceae; Nannochloropsis.
tsa.GAGS.mstr.gbff	SRR768418	167642	Velvet  1.2.08	Bithynia siamensis goniomphalos; Eukaryota; Metazoa; Lophotrochozoa; Mollusca; Gastropoda;Caenogastropoda; Hypsogastropoda; Littorinimorpha; Rissooidea;Bithyniidae; Bithynia.
